index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
MAGEB1,0.0,0.0,0.0223442,0.0,0.1230141,0.623262,0.0914855,0.0,0.0,0.0,0.0,0.0,0.0727215,0.0,0.234059,0.0926227,0.0
MAGEB10,0.01833375,0.0,0.02670305,0.0,0.0,0.0,0.01058205,0.01014335,0.00832315,0.0148098,0.0,0.0,0.0,0.0,0.07463375,0.0,0.0
MAGEB16,0.0,0.0,0.00912365,0.00746555,0.01213695,0.0,0.0,0.0,0.1550335,0.0,0.0,0.0,0.0,0.01052605,0.01290125,0.0,0.0
MAGEB17,0.0153664,0.0,0.0,0.0346089,0.984259,0.0,0.0273625,0.0,0.0139588,0.0,0.0211065,0.032405233,0.0678366,0.03114575,0.0369859,0.0626664,0.0564865
MAGEB18,0.0,0.0,0.04158375,0.00835885,0.0,0.042630467,0.0179492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0292323,0.0,0.0
MAGEB2,0.0123192,0.0,1.369725,0.0,0.2439345,0.0,0.06915525,0.5327425,0.0323203,0.0,0.0,0.028055267,0.0,0.02697405,0.16717445,1.600235,0.0
MAGEB3,0.0,0.0,0.03000345,0.0,0.0,0.0,0.0,0.0,0.0,0.0133573,0.0,0.0,0.0,0.00844945,0.0,0.0072822,0.0
MAGEB4,0.0,0.0,0.0082025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGEB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAGEB6,0.0104152,0.0086217,0.12239525,0.01651785,0.0373899,0.115457667,0.0538806,0.240831,0.0,0.0171896,0.070539433,0.0239609,0.0,0.0114813,0.0928336,0.299768,0.0
MAGEC1,0.01981105,0.0418537,0.0455784,31.8004,1.17718,29.19146667,0.1900325,0.4456625,0.2684285,0.0889115,0.0,0.0410794,0.455117,0.0119614,0.7022075,0.645769,35.87055
MAGEC2,0.0824978,0.111042,0.01905075,70.858,87.39675,136.7523333,0.861906,1.041488,64.8085,0.2801225,5.20349,11.35203333,2.88474,0.01081375,5.03472,5.27076,6.167885
MAGEC3,0.0,0.0,0.0,0.00743395,0.01302085,0.036281333,0.01297735,0.02415255,0.070602,0.01844045,0.0,0.0,0.0,0.0,0.332071,0.0,0.0
MAGED1,107.352,150.02,147.009,63.8901,155.739,72.96723333,71.5206,80.8272,95.20305,38.19245,110.224,74.29793333,223.558,83.1268,89.44655,99.38755,84.8495
MAGED2,198.489,190.9655,260.31,102.471,371.0385,44.8102,159.8125,130.758,231.219,119.2805,137.255,190.3733333,234.251,81.803,248.9575,98.3381,100.25905
MAGED4,0.0,0.0,0.0,0.0,0.0,0.0,0.00265193,0.0,0.0,0.0,0.0,0.002067043,0.0,0.0,0.0,0.0,3.08e-07
MAGED4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0070297,0.0,0.0,0.0,0.0,0.0053306,0.0,0.0,0.0,0.0,0.03356715
MAGEE1,2.921665,1.880525,0.1812455,1.07799,0.837267,0.111221667,0.335325,0.2642365,0.8479015,1.99796,0.161920667,1.804773333,0.156175,0.7639735,0.199774,0.156055,1.80372
MAGEE2,0.0,0.0,0.01557715,0.02491355,0.03007495,0.0,0.0321536,0.0087374,0.0,0.0,0.0,0.0,0.0,0.04335495,0.0,0.0,0.01347235
MAGEF1,31.09355,49.89785,58.92075,47.2593,22.99435,12.5669,26.6252,43.12825,38.0363,34.5084,42.17446667,36.6248,51.8367,39.66225,26.8226,12.43985,34.9106
MAGEH1,23.5494,37.32455,36.3034,14.23155,24.77365,10.42747667,16.61835,18.54325,14.7105,25.16425,25.09206667,39.9182,21.3003,32.6098,10.84735,17.5036,18.08175
MAGEL2,1.494265,0.197236,0.0693777,0.1965155,0.379397,0.198328,0.1029157,4.25217,0.08228135,0.54032,3.205956667,1.398213333,0.14969,0.2116395,0.2857825,0.8319335,1.873865
MAGI1,0.2834955,0.3323005,4.70499,3.95685,0.7384295,0.369465667,2.3148,4.935695,1.082926,0.612527,1.191906667,0.469689333,0.404196,1.400615,0.636563,0.36858,1.44001
MAGI2,3.080335,1.09716,0.6583835,1.681835,1.02764,0.253948667,1.109565,4.938795,1.513505,1.944445,0.828354333,0.852426667,1.39711,1.25813,0.587978,1.19918,3.60835
MAGI3,0.7757155,1.548125,0.8409,0.8730785,0.483501,0.755047,1.882585,0.36667,0.6955385,1.670765,0.447284667,1.067282667,0.661165,0.8098415,0.8682595,0.560588,1.08926
MAGIX,0.852933,0.2972125,0.711476,0.5261115,0.604569,0.176533333,0.5791995,0.362835,0.6651525,0.548833,0.507075333,0.555874333,0.31325,0.2612405,0.727364,0.836878,0.503664
MAGOH,30.18035,32.4065,34.4571,35.12535,41.9307,42.31013333,38.44075,27.146,48.11915,79.1527,58.07976667,65.36403333,13.957,72.13325,29.61655,45.96505,48.0531
MAGOHB,6.686345,4.779915,7.744335,7.613325,6.625645,8.095576667,4.655645,13.31415,3.71385,18.00325,10.98436667,11.22226667,1.63052,5.89292,10.72245,6.067565,11.2179
